Event, Time (sec), Component, Event Property, Value, Overflow
0, 0.00031756, EvCtrl, EventRecorderInitialize, Restart Count = 1, no
1, 0.00031993, EvCtrl, EventRecorderStart, , no
2, 0.00032948, STDIO, stdout, 0x73 0x65 0x74 0x55 0x70 0x20 0x6D 0x79, no
3, 0.00033731, STDIO, stdout, 0x5F 0x74 0x65 0x73 0x74 0x0A 0x00 0x00, no
4, 0.00034806, STDIO, stdout, 0x74 0x65 0x61 0x72 0x44 0x6F 0x77 0x6E, no
5, 0.00035734, STDIO, stdout, 0x20 0x6D 0x79 0x5F 0x74 0x65 0x73 0x74, no
6, 0.00036151, STDIO, stdout, 0x0A 0x00 0x00 0x00 0x00 0x00 0x00 0x00, no
7, 0.00037250, STDIO, stdout, 0x2E 0x2E 0x5C 0x54 0x65 0x73 0x74 0x5C, no
8, 0.00038297, STDIO, stdout, 0x6D 0x79 0x5F 0x74 0x65 0x73 0x74 0x2E, no
9, 0.00039397, STDIO, stdout, 0x63 0x3A 0x31 0x33 0x3A 0x74 0x65 0x73, no
10, 0.00040444, STDIO, stdout, 0x74 0x57 0x69 0x6C 0x6C 0x41 0x6C 0x77, no
11, 0.00041488, STDIO, stdout, 0x61 0x79 0x73 0x50 0x61 0x73 0x73 0x3A, no
12, 0.00042294, STDIO, stdout, 0x50 0x41 0x53 0x53 0x0A 0x00 0x00 0x00, no
13, 0.00043299, STDIO, stdout, 0x73 0x65 0x74 0x55 0x70 0x20 0x6D 0x79, no
14, 0.00044081, STDIO, stdout, 0x5F 0x74 0x65 0x73 0x74 0x0A 0x00 0x00, no
15, 0.00045226, STDIO, stdout, 0x2E 0x2E 0x5C 0x54 0x65 0x73 0x74 0x5C, no
16, 0.00046273, STDIO, stdout, 0x6D 0x79 0x5F 0x74 0x65 0x73 0x74 0x2E, no
17, 0.00047375, STDIO, stdout, 0x63 0x3A 0x31 0x38 0x3A 0x74 0x65 0x73, no
18, 0.00048422, STDIO, stdout, 0x74 0x57 0x69 0x6C 0x6C 0x41 0x6C 0x77, no
19, 0.00049466, STDIO, stdout, 0x61 0x79 0x73 0x46 0x61 0x69 0x6C 0x3A, no
20, 0.00050543, STDIO, stdout, 0x46 0x41 0x49 0x4C 0x3A 0x20 0x45 0x78, no
21, 0.00051656, STDIO, stdout, 0x70 0x65 0x63 0x74 0x65 0x64 0x20 0x34, no
22, 0.00052931, STDIO, stdout, 0x32 0x20 0x57 0x61 0x73 0x20 0x31 0x74, no
23, 0.00053859, STDIO, stdout, 0x65 0x61 0x72 0x44 0x6F 0x77 0x6E 0x20, no
24, 0.00054788, STDIO, stdout, 0x6D 0x79 0x5F 0x74 0x65 0x73 0x74 0x0A, no
25, 0.00055255, STDIO, stdout, 0x0A 0x00 0x00 0x00 0x00 0x00 0x00 0x00, no
26, 0.00055673, STDIO, stdout, 0x0A 0x00 0x00 0x00 0x00 0x00 0x00 0x00, no
27, 0.00056722, STDIO, stdout, 0x2D 0x2D 0x2D 0x2D 0x2D 0x2D 0x2D 0x2D, no
28, 0.00057769, STDIO, stdout, 0x2D 0x2D 0x2D 0x2D 0x2D 0x2D 0x2D 0x2D, no
29, 0.00058813, STDIO, stdout, 0x2D 0x2D 0x2D 0x2D 0x2D 0x2D 0x2D 0x0A, no
30, 0.00059920, STDIO, stdout, 0x32 0x20 0x54 0x65 0x73 0x74 0x73 0x20, no
31, 0.00061042, STDIO, stdout, 0x31 0x20 0x46 0x61 0x69 0x6C 0x75 0x72, no
32, 0.00062156, STDIO, stdout, 0x65 0x73 0x20 0x30 0x20 0x49 0x67 0x6E, no
33, 0.00063024, STDIO, stdout, 0x6F 0x72 0x65 0x64 0x20 0x0A 0x00 0x00, no
34, 0.00063838, STDIO, stdout, 0x46 0x41 0x49 0x4C 0x0A 0x00 0x00 0x00, no
